2	22
3	22
3	21
2	21
2	20
3	20
4	20
4	19
4	18
3	18
3	17
2	17
1	17
1	16
1	15
1	14
1	13
2	13
3	13
4	13
4	12
4	11
3	11
3	10
2	10
2	11
1	11
1	10
1	9
0	9
0	8
-1	8
-1	7
-2	7
-3	7
-4	7
-4	8
-4	9
-5	9
-6	9
-7	9
-7	8
-8	8
-8	9
-9	9
-10	9
-10	8
-11	8
-11	7
-12	7
-12	6
-12	5
-11	5
-11	6
-10	6
-10	7
-9	7
-9	6
-8	6
-7	6
-6	6
-6	5
-7	5
-8	5
-9	5
-10	5
-10	4
-10	3
-11	3
-12	3
-12	2
-11	2
-11	1
-10	1
-9	1
-8	1
-8	2
-7	2
-7	3
-6	3
-5	3
-5	4
-4	4
-3	4
-3	5
-2	5
-2	6
-1	6
0	6
1	6
1	5
1	4
0	4
-1	4
-2	4
-2	3
-2	2
-1	2
0	2
0	1
0	0
