164	185	170	157	146	169	160	137	130	153	148	125	104	101	82	81	100	101	104	85	68	53	40	45	34	25	32	41	50	61	52	41	34	25	20	13	10	5	8	5	4	5	2	1	4	5	2	5	4	1	
530	505	468	433	410	377	356	337	306	289	320	305	274	245	218	205	180	169	194	185	178	153	148	145	144	145	122	125	130	109	90	73	68	53	58	45	40	37	26	25	26	37	40	29	20	17	10	5	2	1	
194	169	180	193	170	149	136	125	106	117	130	145	128	113	98	85	74	89	80	73	58	53	68	85	82	81	64	65	50	37	26	29	40	45	34	25	20	17	16	9	10	13	18	25	20	13	10	5	4	1	
20	29	26	25	16	17	10	5	8	13	18	25	32	25	34	41	52	65	74	85	72	85	74	89	106	117	136	125	116	97	80	73	58	65	52	61	50	41	34	45	40	29	26	17	20	13	10	5	4	1	
202	221	242	265	244	225	208	193	170	149	164	185	202	181	200	181	164	145	130	117	106	89	100	113	128	145	130	113	100	85	98	85	72	61	52	45	34	25	20	17	16	9	10	13	8	13	10	5	2	1	
80	65	52	61	74	89	100	85	98	113	100	117	106	89	80	73	68	85	82	81	82	65	64	49	36	37	40	53	58	65	52	45	34	29	26	25	16	9	10	17	20	25	18	13	10	9	4	5	2	1	
2	1	4	5	8	13	10	17	16	17	20	25	18	13	20	17	16	9	10	5	8	13	20	29	26	25	16	17	10	5	8	13	20	25	32	41	34	45	58	53	50	37	26	17	16	9	10	5	2	1	
820	765	754	701	692	641	592	585	580	577	530	485	484	441	400	361	324	325	328	293	290	289	256	225	226	197	170	173	148	125	104	101	82	65	50	53	68	73	58	45	34	25	32	25	18	13	10	5	2	1	
196	197	170	145	148	125	130	109	90	85	104	101	82	65	50	37	26	29	34	41	32	25	20	17	16	9	10	13	8	5	10	17	26	25	16	17	10	9	4	5	8	13	18	25	20	17	10	5	2	1	
104	85	68	73	80	97	106	89	74	65	52	41	50	41	32	25	20	29	40	45	58	53	50	49	36	37	50	65	82	101	104	85	90	97	106	89	80	73	68	53	40	29	26	25	16	17	10	5	4	1	
180	157	170	185	164	181	202	221	244	225	208	193	218	245	232	221	194	169	160	137	116	125	106	89	74	65	80	73	68	53	40	29	34	41	52	61	50	41	34	25	32	25	18	13	20	17	10	5	2	1	
16	9	10	13	18	25	32	25	20	29	40	37	50	53	68	85	82	81	100	101	82	85	68	65	64	49	36	37	50	53	58	45	40	29	34	25	20	13	18	13	8	5	10	9	4	5	2	5	4	1	
160	169	180	157	170	149	136	125	146	137	116	109	90	97	80	73	68	65	64	49	50	65	68	73	58	65	80	89	74	61	52	45	34	29	40	37	26	25	26	17	16	9	4	5	8	13	10	5	4	1	
